panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.2,N2,0.799,0.24,0.2,0.799,1.239,38.20045544037961,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.2,N2,0.799,0.24888888888888888,0.2,0.799,1.2478888888888888,37.005473399035814,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.2,N2,0.799,0.2577777777777778,0.2,0.799,1.2567777777777778,35.878678734168545,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.2,N2,0.799,0.26666666666666666,0.2,0.799,1.2656666666666667,34.81452521816746,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.2,N2,0.799,0.27555555555555555,0.2,0.799,1.2745555555555557,33.808034055436856,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.2,N2,0.799,0.28444444444444444,0.2,0.799,1.2834444444444446,32.85472600747675,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.2,N2,0.799,0.29333333333333333,0.2,0.799,1.2923333333333333,31.950566657689144,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.2,N2,0.799,0.3022222222222222,0.2,0.799,1.3012222222222223,31.09191035362178,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.2,N2,0.799,0.3111111111111111,0.2,0.799,1.3101111111111112,30.275452467420088,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.2,N2,0.799,0.32,0.2,0.799,1.319,29.49819790167194,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.2,N2,0.799,0.3288888888888889,0.2,0.799,1.327888888888889,28.757424371496075,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.2,N2,0.799,0.3377777777777778,0.2,0.799,1.3367777777777778,28.050652711269425,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.2,N2,0.799,0.3466666666666667,0.2,0.799,1.3456666666666668,27.3756206652278,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.2,N2,0.799,0.35555555555555557,0.2,0.799,1.3545555555555557,26.730260478189038,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.2,N2,0.799,0.36444444444444446,0.2,0.799,1.3634444444444445,26.112678435348162,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.2,N2,0.799,0.37333333333333335,0.2,0.799,1.3723333333333334,25.521137073393106,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.2,N2,0.799,0.38222222222222224,0.2,0.799,1.3812222222222224,24.954040223386777,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.2,N2,0.799,0.39111111111111113,0.2,0.799,1.390111111111111,24.40991828095596,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.2,N2,0.799,0.4,0.2,0.799,1.399,23.887416494935334,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.25555555555555554,N2,0.799,0.24,0.25555555555555554,0.799,1.2945555555555557,49.18686799600198,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.25555555555555554,N2,0.799,0.24888888888888888,0.25555555555555554,0.799,1.3034444444444444,47.72307899205826,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.25555555555555554,N2,0.799,0.2577777777777778,0.25555555555555554,0.799,1.3123333333333334,46.33633602923903,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.25555555555555554,N2,0.799,0.26666666666666666,0.25555555555555554,0.799,1.3212222222222223,45.0211654691965,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.25555555555555554,N2,0.799,0.27555555555555555,0.25555555555555554,0.799,1.330111111111111,43.772529511362606,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.25555555555555554,N2,0.799,0.28444444444444444,0.25555555555555554,0.799,1.339,42.58582511959818,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.25555555555555554,N2,0.799,0.29333333333333333,0.25555555555555554,0.799,1.347888888888889,41.45676629103921,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.25555555555555554,N2,0.799,0.3022222222222222,0.25555555555555554,0.799,1.3567777777777779,40.38146391365275,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.25555555555555554,N2,0.799,0.3111111111111111,0.25555555555555554,0.799,1.3656666666666668,39.35633571312232,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.25555555555555554,N2,0.799,0.32,0.25555555555555554,0.799,1.3745555555555555,38.37808689971761,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.25555555555555554,N2,0.799,0.3288888888888889,0.25555555555555554,0.799,1.3834444444444445,37.443690284633526,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.25555555555555554,N2,0.799,0.3377777777777778,0.25555555555555554,0.799,1.3923333333333334,36.550360740237814,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.25555555555555554,N2,0.799,0.3466666666666667,0.25555555555555554,0.799,1.4012222222222221,35.69552421930401,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.25555555555555554,N2,0.799,0.35555555555555557,0.25555555555555554,0.799,1.410111111111111,34.87683691903041,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.25555555555555554,N2,0.799,0.36444444444444446,0.25555555555555554,0.799,1.419,34.09210662948615,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.25555555555555554,N2,0.799,0.37333333333333335,0.25555555555555554,0.799,1.427888888888889,33.33931825180689,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.25555555555555554,N2,0.799,0.38222222222222224,0.25555555555555554,0.799,1.436777777777778,32.61660787440658,completed,The solver successfully reached the end of the integration interval.
