panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.2,N2,0.799,0.24,0.2,0.799,1.239,25.405932346106585,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.2,N2,0.799,0.24888888888888888,0.2,0.799,1.2478888888888888,24.6146557123989,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.2,N2,0.799,0.2577777777777778,0.2,0.799,1.2567777777777778,23.868662380240682,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.2,N2,0.799,0.26666666666666666,0.2,0.799,1.2656666666666667,23.164158326159967,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.2,N2,0.799,0.27555555555555555,0.2,0.799,1.2745555555555557,22.497763394005826,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.2,N2,0.799,0.28444444444444444,0.2,0.799,1.2834444444444446,21.86635076233484,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.2,N2,0.799,0.29333333333333333,0.2,0.799,1.2923333333333333,21.267453145323827,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.2,N2,0.799,0.3022222222222222,0.2,0.799,1.3012222222222223,20.69850640701103,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.2,N2,0.799,0.3111111111111111,0.2,0.799,1.3101111111111112,20.15731217904587,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.2,N2,0.799,0.32,0.2,0.799,1.319,19.64190071472445,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.2,N2,0.799,0.3288888888888889,0.2,0.799,1.327888888888889,19.150467983056735,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.2,N2,0.799,0.3377777777777778,0.2,0.799,1.3367777777777778,18.681375106042676,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.2,N2,0.799,0.3466666666666667,0.2,0.799,1.3456666666666668,18.233133970467566,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.2,N2,0.799,0.35555555555555557,0.2,0.799,1.3545555555555557,17.804371069536213,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.2,N2,0.799,0.36444444444444446,0.2,0.799,1.3634444444444445,17.393872651144346,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.2,N2,0.799,0.37333333333333335,0.2,0.799,1.3723333333333334,17.000574341007407,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.2,N2,0.799,0.38222222222222224,0.2,0.799,1.3812222222222224,16.623244653343438,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.2,N2,0.799,0.39111111111111113,0.2,0.799,1.390111111111111,16.261020571214413,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.2,N2,0.799,0.4,0.2,0.799,1.399,15.913016480345407,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.25555555555555554,N2,0.799,0.24,0.25555555555555554,0.799,1.2945555555555557,33.10313679899779,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.25555555555555554,N2,0.799,0.24888888888888888,0.25555555555555554,0.799,1.3034444444444444,32.10881697279649,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.25555555555555554,N2,0.799,0.2577777777777778,0.25555555555555554,0.799,1.3123333333333334,31.1688812204784,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.25555555555555554,N2,0.799,0.26666666666666666,0.25555555555555554,0.799,1.3212222222222223,30.279024046407386,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.25555555555555554,N2,0.799,0.27555555555555555,0.25555555555555554,0.799,1.330111111111111,29.435372057104864,completed,The solver successfully reached the end of the integration interval.
