total_catalyst_mass_g,conversion_percent,derived_uniform_bed_voidage_percent
0,0,100
0.09940195505,18.75204457,99.9625
0.1988039101,34.41521618,99.925
0.2982058652,46.7272581,99.8875
0.3976078202,56.18223679,99.85
0.4970097753,63.45002444,99.8125
0.5964117303,69.10536247,99.775
0.6958136854,73.57633999,99.7375
0.7952156404,77.16773255,99.7
0.8946175955,80.09508074,99.6625
0.9940195505,82.51225224,99.625
1.093421506,84.53082312,99.5875
1.192823461,86.23313651,99.55
1.292225416,87.68103459,99.5125
1.391627371,88.92173817,99.475
1.491029326,89.99185856,99.4375
1.590431281,90.92017939,99.4
1.689833236,91.72961737,99.3625
1.789235191,92.43862695,99.325
1.888637146,93.06222245,99.2875
1.988039101,93.61273316,99.25
2.087441056,94.10036853,99.2125
2.186843011,94.53364685,99.175
2.286244966,94.91972428,99.1375
2.385646921,95.26465025,99.1
2.485048876,95.57356762,99.0625
2.584450831,95.85087113,99.025
2.683852786,96.10033413,98.9875
2.783254742,96.32521028,98.95
2.882656697,96.52831638,98.9125
2.982058652,96.7120999,98.875
3.081460607,96.87869461,98.8375
3.180862562,97.02996648,98.8
3.280264517,97.16755204,98.7625
3.379666472,97.29289048,98.725
3.479068427,97.40725051,98.6875
3.578470382,97.51175318,98.65
3.677872337,97.60739127,98.6125
3.777274292,97.69504563,98.575
3.876676247,97.7754994,98.5375
3.976078202,97.84945007,98.5
4.075480157,97.91751986,98.4625
4.174882112,97.98026479,98.425
4.274284067,98.03818246,98.3875
4.373686022,98.09171878,98.35
4.473087977,98.14127399,98.3125
4.572489933,98.18720768,98.275
4.671891888,98.22984347,98.2375
4.771293843,98.26947282,98.2
4.870695798,98.30635862,98.1625
4.970097753,98.34073822,98.125
5.069499708,98.37282615,98.0875
5.168901663,98.40281648,98.05
5.268303618,98.43088502,98.0125
5.367705573,98.45719112,97.975
5.467107528,98.48187937,97.9375
5.566509483,98.50508112,97.9
5.665911438,98.52691576,97.8625
5.765313393,98.54749191,97.825
5.864715348,98.56690847,97.7875
5.964117303,98.58525561,97.75
6.063519258,98.60261555,97.7125
6.162921213,98.61906335,97.675
6.262323168,98.63466758,97.6375
6.361725124,98.64949094,97.6
6.461127079,98.66359081,97.5625
6.560529034,98.6770197,97.525
6.659930989,98.68982576,97.4875
6.759332944,98.70205313,97.45
6.858734899,98.71374233,97.4125
6.958136854,98.72493054,97.375
7.057538809,98.73565199,97.3375
7.156940764,98.7459381,97.3
7.256342719,98.75581783,97.2625
7.355744674,98.76531784,97.225
7.455146629,98.77446269,97.1875
7.554548584,98.78327503,97.15
7.653950539,98.7917758,97.1125
7.753352494,98.79998432,97.075
7.852754449,98.80791843,97.0375
7.952156404,98.81559465,97
8.051558359,98.82302827,96.9625
8.150960315,98.83023345,96.925
8.25036227,98.8372233,96.8875
8.349764225,98.84401,96.85
8.44916618,98.85060485,96.8125
8.548568135,98.85701832,96.775
8.64797009,98.86326021,96.7375
8.747372045,98.86933955,96.7
8.846774,98.8752648,96.6625
8.946175955,98.88104383,96.625
9.04557791,98.88668396,96.5875
9.144979865,98.89219205,96.55
9.24438182,98.89757447,96.5125
9.343783775,98.90283719,96.475
9.44318573,98.90798578,96.4375
9.542587685,98.91302546,96.4
9.64198964,98.91796112,96.3625
9.741391595,98.92279733,96.325
9.84079355,98.92753839,96.2875
9.940195505,98.93218831,96.25
10.03959746,98.93675089,96.2125
10.13899942,98.94122967,96.175
10.23840137,98.945628,96.1375
10.33780333,98.94994902,96.1
10.43720528,98.95419569,96.0625
10.53660724,98.95837081,96.025
10.63600919,98.962477,95.9875
10.73541115,98.96651677,95.95
10.8348131,98.97049244,95.9125
10.93421506,98.97440625,95.875
11.03361701,98.9782603,95.8375
11.13301897,98.98205657,95.8
11.23242092,98.98579696,95.7625
11.33182288,98.98948324,95.725
11.43122483,98.99311712,95.6875
11.53062679,98.99670021,95.65
11.63002874,99.00023402,95.6125
11.7294307,99.00372004,95.575
11.82883265,99.00715964,95.5375
11.92823461,99.01055414,95.5
12.02763656,99.01390481,95.4625
12.12703852,99.01721283,95.425
12.22644047,99.02047935,95.3875
12.32584243,99.02370549,95.35
12.42524438,99.02689228,95.3125
12.52464634,99.03004071,95.275
12.62404829,99.03315176,95.2375
12.72345025,99.03622634,95.2
12.8228522,99.03926532,95.1625
12.92225416,99.04226956,95.125
13.02165611,99.04523986,95.0875
13.12105807,99.048177,95.05
13.22046002,99.05108174,95.0125
13.31986198,99.05395479,94.975
13.41926393,99.05679683,94.9375
13.51866589,99.05960854,94.9
13.61806784,99.06239058,94.8625
13.7174698,99.06514354,94.825
13.81687175,99.06786802,94.7875
13.91627371,99.07056461,94.75
14.01567566,99.07323387,94.7125
14.11507762,99.07587632,94.675
14.21447957,99.07849249,94.6375
14.31388153,99.08108289,94.6
14.41328348,99.08364799,94.5625
14.51268544,99.08618827,94.525
14.61208739,99.08870419,94.4875
14.71148935,99.09119618,94.45
14.8108913,99.09366469,94.4125
14.91029326,99.09611012,94.375
15.00969521,99.09853287,94.3375
15.10909717,99.10093334,94.3
15.20849912,99.10331191,94.2625
15.30790108,99.10566895,94.225
15.40730303,99.10800482,94.1875
15.50670499,99.11031987,94.15
15.60610694,99.11261444,94.1125
15.7055089,99.11488886,94.075
15.80491085,99.11714345,94.0375
15.90431281,99.11937853,94
16.00371476,99.1215944,93.9625
16.10311672,99.12379136,93.925
16.20251867,99.12596971,93.8875
16.30192063,99.12812971,93.85
16.40132258,99.13027166,93.8125
16.50072454,99.13239583,93.775
16.60012649,99.13450247,93.7375
16.69952845,99.13659184,93.7
16.7989304,99.13866419,93.6625
16.89833236,99.14071978,93.625
16.99773431,99.14275883,93.5875
17.09713627,99.14478159,93.55
17.19653822,99.14678828,93.5125
17.29594018,99.14877913,93.475
17.39534213,99.15075436,93.4375
17.49474409,99.15271418,93.4
17.59414604,99.1546588,93.3625
17.693548,99.15658843,93.325
17.79294995,99.15850327,93.2875
17.89235191,99.16040351,93.25
17.99175386,99.16228935,93.2125
18.09115582,99.16416099,93.175
18.19055778,99.1660186,93.1375
18.28995973,99.16786236,93.1
18.38936169,99.16969246,93.0625
18.48876364,99.17150907,93.025
18.5881656,99.17331236,92.9875
18.68756755,99.1751025,92.95
18.78696951,99.17687966,92.9125
18.88637146,99.17864398,92.875
18.98577342,99.18039565,92.8375
19.08517537,99.18213481,92.8
19.18457733,99.18386161,92.7625
19.28397928,99.1855762,92.725
19.38338124,99.18727874,92.6875
19.48278319,99.18896935,92.65
19.58218515,99.19064821,92.6125
19.6815871,99.19231543,92.575
19.78098906,99.19397116,92.5375
19.88039101,99.19561552,92.5
19.97979297,99.19724866,92.4625
20.07919492,99.1988707,92.425
20.17859688,99.20048178,92.3875
20.27799883,99.20208201,92.35
20.37740079,99.20367153,92.3125
20.47680274,99.20525045,92.275
20.5762047,99.20681889,92.2375
20.67560665,99.20837697,92.2
20.77500861,99.20992481,92.1625
20.87441056,99.21146253,92.125
20.97381252,99.21299023,92.0875
21.07321447,99.21450802,92.05
21.17261643,99.21601601,92.0125
21.27201838,99.21751431,91.975
21.37142034,99.21900302,91.9375
21.47082229,99.22048226,91.9
21.57022425,99.22195211,91.8625
21.6696262,99.22341269,91.825
21.76902816,99.22486408,91.7875
21.86843011,99.22630639,91.75
21.96783207,99.22773971,91.7125
22.06723402,99.22916414,91.675
22.16663598,99.23057977,91.6375
22.26603793,99.23198669,91.6
22.36543989,99.23338499,91.5625
22.46484184,99.23477476,91.525
22.5642438,99.23615609,91.4875
22.66364575,99.23752906,91.45
22.76304771,99.23889377,91.4125
22.86244966,99.24025029,91.375
22.96185162,99.2415987,91.3375
23.06125357,99.24293909,91.3
23.16065553,99.24427153,91.2625
23.26005748,99.24559611,91.225
23.35945944,99.24691291,91.1875
23.45886139,99.248222,91.15
23.55826335,99.24952345,91.1125
23.6576653,99.25081735,91.075
23.75706726,99.25210376,91.0375
23.85646921,99.25338276,91
23.95587117,99.25465442,90.9625
24.05527312,99.25591881,90.925
24.15467508,99.257176,90.8875
24.25407703,99.25842606,90.85
24.35347899,99.25966906,90.8125
24.45288094,99.26090506,90.775
24.5522829,99.26213413,90.7375
24.65168485,99.26335633,90.7
24.75108681,99.26457174,90.6625
24.85048876,99.2657804,90.625
24.94989072,99.2669824,90.5875
25.04929267,99.26817778,90.55
25.14869463,99.26936661,90.5125
25.24809658,99.27054895,90.475
25.34749854,99.27172485,90.4375
25.44690049,99.27289439,90.4
25.54630245,99.2740576,90.3625
25.6457044,99.27521456,90.325
25.74510636,99.27636532,90.2875
25.84450831,99.27750993,90.25
25.94391027,99.27864845,90.2125
26.04331222,99.27978093,90.175
26.14271418,99.28090743,90.1375
26.24211613,99.282028,90.1
26.34151809,99.28314269,90.0625
26.44092004,99.28425156,90.025
26.540322,99.28535465,89.9875
26.63972395,99.28645202,89.95
26.73912591,99.28754371,89.9125
26.83852786,99.28862977,89.875
26.93792982,99.28971026,89.8375
27.03733177,99.29078522,89.8
27.13673373,99.2918547,89.7625
27.23613569,99.29291874,89.725
27.33553764,99.29397739,89.6875
27.4349396,99.2950307,89.65
27.53434155,99.29607871,89.6125
27.63374351,99.29712147,89.575
27.73314546,99.29815902,89.5375
27.83254742,99.2991914,89.5
27.93194937,99.30021867,89.4625
28.03135133,99.30124085,89.425
28.13075328,99.302258,89.3875
28.23015524,99.30327015,89.35
28.32955719,99.30427734,89.3125
28.42895915,99.30527962,89.275
28.5283611,99.30627702,89.2375
28.62776306,99.30726959,89.2
28.72716501,99.30825737,89.1625
28.82656697,99.30924039,89.125
28.92596892,99.31021869,89.0875
29.02537088,99.31119231,89.05
29.12477283,99.31216129,89.0125
29.22417479,99.31312566,88.975
29.32357674,99.31408546,88.9375
29.4229787,99.31504073,88.9
29.52238065,99.31599151,88.8625
29.62178261,99.31693782,88.825
