case_id,h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,space_time_multiple_of_experiment1,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
0,1.0,250.0,1.0,8.774999999999999,0.25,1.28,1.28,3.196,5.756,4.046217687275725,3.916691697509663,0.9999996648981853,0.033510181470774114,completed,,130,The solver successfully reached the end of the integration interval.
1,1.0,250.0,1.0,10.07982806509898,0.2871745887492587,1.114304721019039,1.114304721019039,2.7822796002944132,5.010889042332492,4.499946297233512,4.339857091969077,0.999999741003278,0.02589967219682876,completed,,135,The solver successfully reached the end of the integration interval.
2,1.0,250.0,1.0,11.578681917032144,0.32987697769322355,0.9700586025666549,0.9700586025666549,2.4221150732836167,4.3622322784169265,4.988443672284908,4.7918654634383895,0.9999997993303815,0.02006696184980683,completed,,139,The solver successfully reached the end of the integration interval.
3,1.0,250.0,1.0,13.300412871128742,0.37892914162759955,0.8444850628946523,0.8444850628946523,2.1085736414150853,3.79754376720439,5.511356916094912,5.271613176312665,0.9999998441004948,0.01558995051891543,completed,,142,The solver successfully reached the end of the integration interval.
4,1.0,250.0,1.0,15.278162385846976,0.43527528164806206,0.7351669471981024,0.7351669471981024,1.835619971285262,3.3059538656814667,6.067848711639807,5.777519405674553,0.9999998785233686,0.012147663146606646,completed,,146,The solver successfully reached the end of the integration interval.
5,1.0,250.0,1.0,17.549999999999997,0.5,0.64,0.64,1.598,2.878,6.656614898638471,6.307567216475617,0.9999999050409603,0.00949590397067368,completed,,147,The solver successfully reached the end of the integration interval.
6,1.0,250.0,1.0,20.159656130197963,0.5743491774985175,0.5571523605095194,0.5571523605095194,1.3911398001472064,2.505444521166245,7.275925783550309,6.859367695560594,0.9999999255121278,0.007448787218891084,completed,,151,The solver successfully reached the end of the integration interval.
7,1.0,250.0,1.0,23.157363834064295,0.6597539553864472,0.48502930128332733,0.48502930128332733,1.211057536641808,2.181116139208463,7.923689045075909,7.430243196522896,0.9999999413527509,0.0058647249097703025,completed,,141,The solver successfully reached the end of the integration interval.
8,1.0,250.0,1.0,26.600825742257484,0.7578582832551991,0.42224253144732615,0.42224253144732615,1.0542868207075426,1.898771883602195,8.59752987783485,8.017324116957042,0.9999999536420714,0.004635792865883559,completed,,159,The solver successfully reached the end of the integration interval.
9,1.0,250.0,1.0,30.55632477169395,0.8705505632961241,0.3675834735990512,0.3675834735990512,0.917809985642631,1.6529769328407333,9.294879633759427,8.617648280014583,0.9999999632034001,0.003679659988847561,completed,,159,The solver successfully reached the end of the integration interval.
10,1.0,250.0,1.0,35.099999999999994,1.0,0.32,0.32,0.799,1.439,10.013068585123365,9.228259362816658,0.999999970665391,0.002933460898930207,completed,,166,The solver successfully reached the end of the integration interval.
11,1.0,250.0,1.0,40.31931226039592,1.1486983549970349,0.2785761802547598,0.2785761802547598,0.6955699000736033,1.252722260583123,10.74941061535025,9.84629022990991,0.9999999765085644,0.0023491435567848384,completed,,168,The solver successfully reached the end of the integration interval.
12,1.0,250.0,1.0,46.3147276681286,1.3195079107728946,0.24251465064166364,0.24251465064166364,0.605528768320904,1.0905580696042312,11.5012872158196,10.469042403985904,0.9999999811006525,0.0018899347487604246,completed,,176,The solver successfully reached the end of the integration interval.
13,1.0,250.0,1.0,53.201651484514976,1.5157165665103984,0.21112126572366305,0.21112126572366305,0.5271434103537712,0.9493859418010973,12.266200218991417,11.09402736430047,0.9999999847234515,0.0015276548510883003,completed,,179,The solver successfully reached the end of the integration interval.
14,1.0,250.0,1.0,61.11264954338791,1.7411011265922485,0.1837917367995256,0.1837917367995256,0.4589049928213155,0.8264884664203667,13.041825273852185,11.719008457663023,0.9999999875932329,0.0012406767054926604,completed,,184,The solver successfully reached the end of the integration interval.
15,1.0,250.0,1.0,70.2,2.0000000000000004,0.15999999999999998,0.15999999999999998,0.39949999999999997,0.7194999999999999,13.826050919205224,12.342026817988236,0.9999999898762588,0.0010123741230927408,completed,,185,The solver successfully reached the end of the integration interval.
16,1.0,250.0,1.0,80.63862452079185,2.29739670999407,0.13928809012737986,0.13928809012737986,0.3477849500368016,0.6263611302915613,14.616989900081961,12.961399175125916,0.9999999917005975,0.0008299402543343604,completed,,215,The solver successfully reached the end of the integration interval.
17,1.0,250.0,1.0,92.6294553362572,2.6390158215457893,0.12125732532083182,0.12125732532083182,0.302764384160452,0.5452790348021156,15.412963218056957,13.575682031215223,0.9999999931651028,0.0006834897212684155,completed,,225,The solver successfully reached the end of the integration interval.
18,1.0,250.0,1.0,106.40330296902994,3.0314331330207964,0.10556063286183154,0.10556063286183154,0.26357170517688566,0.47469297090054874,16.212542909772328,14.183713356140931,0.999999994346264,0.0005653736006934196,completed,,235,The solver successfully reached the end of the integration interval.
19,1.0,250.0,1.0,122.22529908677583,3.4822022531844974,0.09189586839976278,0.09189586839976278,0.2294524964106577,0.4132442332101833,17.0145020345126,14.784543971064753,0.9999999953034181,0.00046965818910393864,completed,,245,The solver successfully reached the end of the integration interval.
20,1.0,250.0,1.0,140.39999999999998,4.0,0.08,0.08,0.19975,0.35975,17.817816090951595,15.377434626444842,0.999999996082731,0.00039172689139377326,completed,,240,The solver successfully reached the end of the integration interval.
21,1.0,250.0,2.0,8.774999999999999,0.25,1.28,1.28,3.196,5.756,5.998165612756408,5.714433336940415,1.9999998331176807,0.016688231931766495,completed,,83,The solver successfully reached the end of the integration interval.
22,1.0,250.0,2.0,10.07982806509898,0.2871745887492587,1.114304721019039,1.114304721019039,2.7822796002944132,5.010889042332492,6.751890536595294,6.392841115822755,1.9999998710971696,0.012890283047454432,completed,,85,The solver successfully reached the end of the integration interval.
23,1.0,250.0,2.0,11.578681917032144,0.32987697769322355,0.9700586025666549,0.9700586025666549,2.4221150732836167,4.3622322784169265,7.57661625214245,7.125164883657447,1.9999999001956714,0.009980432863812894,completed,,88,The solver successfully reached the end of the integration interval.
24,1.0,250.0,2.0,13.300412871128742,0.37892914162759955,0.8444850628946523,0.8444850628946523,2.1085736414150853,3.79754376720439,8.472201440676344,7.908656157032818,1.9999999225226242,0.007747737574391067,completed,,94,The solver successfully reached the end of the integration interval.
25,1.0,250.0,2.0,15.278162385846976,0.43527528164806206,0.7351669471981024,0.7351669471981024,1.835619971285262,3.3059538656814667,9.436579496339101,8.738740065620853,1.9999999396820134,0.006031798664480448,completed,,103,The solver successfully reached the end of the integration interval.
