catalyst_mass_g,bed_length_m,co_conversion_pct_constant_pressure,co_conversion_pct_ergun,pressure_bar_ergun,pressure_loss_pa_ergun
0,0,0,0,2,0
0.0312,0.003,6.15326609575,6.15326609562,1.9999999999,9.60991019383e-06
0.0624,0.006,12.0807290933,12.0807290928,1.99999999981,1.90483406186e-05
0.0936,0.009,17.7340367725,17.7340367714,1.99999999972,2.83299887087e-05
0.1248,0.012,23.0780135294,23.0780135274,1.99999999963,3.74692317564e-05
0.156,0.015,28.0910251905,28.0910251875,1.99999999954,4.64796321467e-05
0.1872,0.018,32.7639834804,32.7639834763,1.99999999945,5.53737918381e-05
0.2184,0.021,37.0984087359,37.0984087306,1.99999999936,6.4163323259e-05
0.2496,0.024,41.1040435622,41.1040435556,1.99999999927,7.2858761996e-05
0.2808,0.027,44.796440468,44.79644046,1.99999999919,8.14695667941e-05
0.312,0.03,48.1948086549,48.1948086456,1.9999999991,9.00042359717e-05
0.3432,0.033,51.3202619259,51.3202619152,1.99999999902,9.84701910056e-05
0.3744,0.036,54.1944977252,54.1944977132,1.99999999893,0.000106874154881
0.4056,0.039,56.8388695617,56.8388695484,1.99999999885,0.000115221977467
0.4368,0.042,59.273783657,59.2737836425,1.99999999876,0.000123518868349
0.468,0.045,61.5183437562,61.5183437405,1.99999999868,0.000131769425934
0.4992,0.048,63.5901754284,63.5901754116,1.9999999986,0.000139977724757
0.5304,0.051,65.5053728972,65.5053728793,1.99999999852,0.000148147315485
0.5616,0.054,67.27852551,67.2785254911,1.99999999844,0.000156281457748
0.5928,0.057,68.9227931188,68.9227930989,1.99999999836,0.000164382974617
0.624,0.06,70.4500065663,70.4500065456,1.99999999828,0.000172454398125
0.6552,0.063,71.8707811223,71.8707811007,1.9999999982,0.000180497998372
0.6864,0.066,73.1946317895,73.1946317671,1.99999999811,0.000188515870832
0.7176,0.069,74.4300846686,74.4300846454,1.99999999803,0.00019650979084
0.7488,0.072,75.5847822249,75.5847822011,1.99999999796,0.000204481446417
0.78,0.075,76.6655796704,76.6655796459,1.99999999788,0.00021243232186
0.8112,0.078,77.6786324671,77.6786324419,1.9999999978,0.000220363814151
0.8424,0.081,78.6294748155,78.6294747898,1.99999999772,0.000228277058341
0.8736,0.084,79.5230895454,79.5230895192,1.99999999764,0.000236173276789
0.9048,0.087,80.3639702234,80.3639701967,1.99999999756,0.000244053459028
0.936,0.09,81.1561758793,81.1561758521,1.99999999748,0.000251918536378
0.9672,0.093,81.9033791565,81.9033791289,1.9999999974,0.000259769411059
0.9984,0.096,82.6089094237,82.6089093957,1.99999999732,0.00026760683977
1.0296,0.099,83.2757894707,83.2757894423,1.99999999725,0.000275431579212
1.0608,0.102,83.9067690551,83.9067690264,1.99999999717,0.000283244269667
1.092,0.105,84.5043539679,84.5043539389,1.99999999709,0.000291045580525
1.1232,0.108,85.0708311459,85.0708311166,1.99999999701,0.000298836064758
1.1544,0.111,85.6082919676,85.6082919381,1.99999999693,0.000306616217131
1.1856,0.114,86.1186516344,86.1186516046,1.99999999686,0.000314386619721
1.2168,0.117,86.6036671028,86.6036670728,1.99999999678,0.000322147709085
1.248,0.12,87.0649528809,87.0649528508,1.9999999967,0.000329899863573
1.2792,0.123,87.5039944344,87.5039944042,1.99999999662,0.000337643548846
1.3104,0.126,87.9221609403,87.9221609099,1.99999999655,0.000345379114151
1.3416,0.129,88.3207162244,88.3207161939,1.99999999647,0.000353106908733
1.3728,0.132,88.7008281894,88.7008281588,1.99999999639,0.000360827281838
1.404,0.135,89.0635780706,89.0635780399,1.99999999631,0.000368540524505
1.4352,0.138,89.4099677793,89.4099677485,1.99999999624,0.000376246927772
1.4664,0.141,89.7409271561,89.7409271253,1.99999999616,0.000383946753573
1.4976,0.144,90.0573203098,90.057320279,1.99999999608,0.00039164032205
1.5288,0.147,90.3599509642,90.3599509334,1.99999999601,0.000399327836931
1.56,0.15,90.6495677739,90.6495677431,1.99999999593,0.000407009531045
1.5912,0.153,90.9268688635,90.9268688327,1.99999999585,0.000414685637224
1.6224,0.156,91.192505942,91.1925059112,1.99999999578,0.000422356300987
1.6536,0.159,91.4470880442,91.4470880135,1.9999999957,0.000430021784268
1.6848,0.162,91.6911849145,91.6911848838,1.99999999562,0.000437682232587
1.716,0.165,91.9253300304,91.9253299997,1.99999999555,0.000445337849669
1.7472,0.168,92.150023454,92.1500234234,1.99999999547,0.000452988751931
1.7784,0.171,92.3657343643,92.3657343339,1.99999999539,0.000460635172203
1.8096,0.174,92.5729033587,92.5729033284,1.99999999532,0.000468277197797
1.8408,0.177,92.7719445505,92.7719445202,1.99999999524,0.000475914974231
1.872,0.18,92.963247514,92.9632474839,1.99999999516,0.000483548676129
1.9032,0.183,93.1471789899,93.1471789598,1.99999999509,0.000491178390803
1.9344,0.186,93.3240845476,93.3240845177,1.99999999501,0.000498804263771
1.9656,0.189,93.4942900726,93.4942900428,1.99999999494,0.000506426411448
1.9968,0.192,93.6581030867,93.658103057,1.99999999486,0.000514044921147
2.028,0.195,93.8158140068,93.8158139773,1.99999999478,0.000521659938386
2.0592,0.198,93.9676972904,93.967697261,1.99999999471,0.000529271550477
2.0904,0.201,94.1140124912,94.1140124619,1.99999999463,0.000536879815627
2.1216,0.204,94.2550052318,94.2550052028,1.99999999456,0.000544484879356
2.1528,0.207,94.3909081023,94.3909080734,1.99999999448,0.000552086799871
2.184,0.21,94.5219414893,94.5219414606,1.9999999944,0.000559685664484
2.2152,0.213,94.648314344,94.6483143155,1.99999999433,0.000567281589611
2.2464,0.216,94.77022489,94.7702248617,1.99999999425,0.000574874604354
2.2776,0.219,94.8878612835,94.8878612553,1.99999999418,0.000582464796025
2.3088,0.222,95.001402232,95.0014022039,1.9999999941,0.000590052251937
2.34,0.225,95.1110175497,95.1110175219,1.99999999402,0.000597637030296
2.3712,0.228,95.2168686892,95.2168686616,1.99999999395,0.00060521918931
2.4024,0.231,95.3191092311,95.3191092037,1.99999999387,0.000612798845395
2.4336,0.234,95.4178853492,95.4178853219,1.9999999938,0.000620375969447
2.4648,0.237,95.5133361907,95.5133361637,1.99999999372,0.000627950677881
2.496,0.24,95.6055943571,95.6055943302,1.99999999364,0.000635523028905
2.5272,0.243,95.6947862145,95.6947861879,1.99999999357,0.000643093051622
2.5584,0.246,95.7810322497,95.7810322233,1.99999999349,0.000650660833344
2.5896,0.249,95.8644473653,95.8644473391,1.99999999342,0.000658226374071
2.6208,0.252,95.9451412373,95.9451412113,1.99999999334,0.000665789761115
2.652,0.255,96.0232185639,96.0232185381,1.99999999327,0.000673351023579
2.6832,0.258,96.0987793447,96.0987793191,1.99999999319,0.000680910219671
2.7144,0.261,96.1719191276,96.1719191022,1.99999999312,0.000688467407599
2.7456,0.264,96.2427292393,96.2427292141,1.99999999304,0.000696022587363
2.7768,0.267,96.3112969732,96.3112969482,1.99999999296,0.00070357581717
2.808,0.27,96.377705848,96.3777058232,1.99999999289,0.000711127126124
2.8392,0.273,96.4420357655,96.442035741,1.99999999281,0.000718676601537
2.8704,0.276,96.5043632026,96.5043631782,1.99999999274,0.000726224214304
2.9016,0.279,96.5647614376,96.5647614134,1.99999999266,0.000733770051738
2.9328,0.282,96.623300555,96.6233005311,1.99999999259,0.000741314084735
2.964,0.285,96.6800477515,96.6800477277,1.99999999251,0.000748856400605
2.9952,0.288,96.7350674777,96.7350674542,1.99999999244,0.00075639699935
3.0264,0.291,96.7884214364,96.7884214131,1.99999999236,0.00076393596828
3.0576,0.294,96.8401688165,96.8401687934,1.99999999229,0.000771473249188
3.0888,0.297,96.8903664458,96.8903664229,1.99999999221,0.000779008958489
3.12,0.3,96.9390687913,96.9390687686,1.99999999213,0.000786543067079
