catalyst_mass_kg,bed_length_m,temperature_k,pressure_bar,co_conversion,methane_yield,flow_CO_mol_s,flow_H2_mol_s,flow_CH4_mol_s,flow_H2O_mol_s,flow_CO2_mol_s,flow_N2_mol_s,concentration_CO_mol_m3,concentration_H2_mol_m3,concentration_CH4_mol_m3,concentration_H2O_mol_m3,concentration_CO2_mol_m3,concentration_N2_mol_m3,intrinsic_r1_co2_methanation_mol_kg_s,intrinsic_r2_co_methanation_mol_kg_s,intrinsic_wgs_mol_kg_s
0.0,0.0,623.15,1.0,0.0,0.0,8.888888888888887e-05,0.0002663888888888888,0.0,0.0,0.0,0.00022194444444444442,2.972197405083037,8.907304098358225,0.0,0.0,0.0,7.421205395816709,0.0,0.09308559695145696,-0.0
7.8e-06,2.0524662510455847e-05,623.15,1.0,0.008125776384004623,0.008097277633037345,8.816659765475512e-05,0.00026423214807571465,7.197580118255415e-07,7.172247895191458e-07,2.533222462203068e-09,0.00022194444444444442,2.955416411989162,8.857277560556973,0.024126876814954065,0.024041961132839896,8.49156873369578e-05,7.439759173076708,1.8094742805648493e-05,0.09145118291499124,0.0006648659070644286
1.56e-05,4.1049325020911694e-05,623.15,1.0,0.016166168649338706,0.016053599965728565,8.745189612005876e-05,0.00026211793500323193,1.4269866636203166e-06,1.4169805584123375e-06,1.0006105363786528e-08,0.00022194444444444442,2.9386781355767186,8.80804509348813,0.04795155616047009,0.04761531733773947,0.00033623882796626823,7.458080557866951,3.5543462160650565e-05,0.08983956679173545,0.0013001605518011185
2.34e-05,6.157398753136754e-05,623.15,1.0,0.024120635825045252,0.023871017458222687,8.674483237110707e-05,0.0002600454725326302,2.1218682185086828e-06,2.0996799192373713e-06,2.218829942711865e-08,0.00022194444444444442,2.921988567031805,8.759598432307525,0.07147485914441208,0.07072744912561946,0.00074741002404097,7.4761701816245685,5.225891736592384e-05,0.0882511743134144,0.0019066667301544354
3.12e-05,8.209865004182339e-05,623.15,1.0,0.0319887409201869,0.03155152256536321,8.604544525153892e-05,0.0002580140133918817,2.8045797835878403e-06,2.765715929827543e-06,3.8863853916105115e-08,0.00022194444444444442,2.9053533365767,8.711929754099819,0.09469757763612432,0.09338532657083402,0.0013122510705511864,7.494028653303946,6.827596187495529e-05,0.08668638732559729,0.002485163941448087
3.9e-05,0.00010262331255227922,623.15,1.0,0.0397701469459822,0.039097141161051736,8.535376471591267e-05,0.00025602280731570757,3.4753014365379313e-06,3.415478700101472e-06,5.982273659226669e-08,0.00022194444444444442,2.888777802777203,8.665030830683877,0.11762074796870489,0.11559606172675388,0.002024686247224305,7.5116567698542145,8.361720941455371e-05,0.08514553268537305,0.003036442266025917
4.68e-05,0.00012314797506273508,623.15,1.0,0.047464612828669546,0.04650992730266693,8.466981219300713e-05,0.00025407110254381656,4.13421576023706e-06,4.049354824594196e-06,8.486093579867112e-08,0.00022194444444444442,2.8722670541247486,8.618893066377035,0.14024563672946147,0.13736688616516854,0.0028787505695784363,7.5290555052919785,9.830327958882481e-05,0.08362888421789354,0.0035612991832389457
5.46e-05,0.00014367263757319093,623.15,1.0,0.05507198939599359,0.05379195859279306,8.399360094257833e-05,0.0002521581471133116,4.781507430470493e-06,4.667726914632251e-06,1.1378051599404885e-07,0.00022194444444444442,2.855825911361917,8.57350753159768,0.16257372778483956,0.1587051313478191,0.0038685964423179685,7.546226000723398,0.00011235419255740626,0.08213666473472987,0.004060536629695853
6.24e-05,0.00016419730008364677,623.15,1.0,0.06259221543770144,0.060945331795433676,8.332513640553763e-05,0.0002502831900671912,5.41736282626077e-06,5.2709731691721006e-06,1.4638965724447558e-07,0.00022194444444444442,2.8394589302266384,8.528864995349322,0.18460670955807376,0.17961820984425136,0.004988499719131794,7.563169554560558,0.0001257896864135191,0.08066904814059361,0.004534958243219041
7.02e-05,0.00018472196259410262,623.15,1.0,0.07002531350610425,0.06797215859596661,8.266441657723516e-05,0.00024844548258863753,6.041969652974809e-06,5.859466994297708e-06,1.8250265883290722e-07,0.00022194444444444442,2.823170405518841,8.484955956517892,0.2063464622578473,0.20011359778920013,0.0062328644739683015,7.579887612700226,0.00013862928137306125,0.07922616164464924,0.0049853668093710005
7.8e-05,0.00020524662510455844,623.15,1.0,0.07737138556167422,0.07487456155983362,8.201143239451783e-05,0.0002466442790508688,6.65551658309632e-06,6.433576671823407e-06,2.2193991142871957e-07,0.00022194444444444442,2.806964376224153,8.441770673689113,0.22779504525968117,0.22019881865546126,0.007596226609552589,7.596381758820017,0.00015089227275752896,0.07780808804232342,0.005412561912334068
8.58e-05,0.0002257712876150143,623.15,1.0,0.08463060884458413,0.08165467034058925,8.136616810270361e-05,0.0002448788379984144,7.258192919163487e-06,6.993665052143522e-06,2.6452786717577177e-07,0.00022194444444444442,2.790844630575726,8.399299194068712,0.2489546848336476,0.2398814275508607,0.009073257288131046,7.612653704940894,0.00016259771818800484,0.0764148680201568,0.005817337763728282
9.36e-05,0.00024629595012547016,623.15,1.0,0.09180323192062793,0.08831461806934507,8.072860160705527e-05,0.000243148423079394,7.850188272830671e-06,7.540089263829546e-06,3.1009900915693245e-07,0.00022194444444444442,2.774814711130237,8.357531381911818,0.26982776204423814,0.259168995820694,0.010658766228899543,7.628705282122085,0.00017376442439460529,0.075046502481106,0.006200481202784488
0.0001014,0.000266820612635926,623.15,1.0,0.09888957043464242,0.09485653792662224,8.009870485025399e-05,0.00024145230388694118,8.431692260144197e-06,8.073200481655312e-06,3.5849177864469146e-07,0.00022194444444444442,2.758877921270226,8.316456944951451,0.2904168008577122,0.2780690974275643,0.012347703435514367,7.644538431315502,0.0001844109124193066,0.07370295490073092,0.006562769908838172
0.0001092,0.00028734527514638186,623.15,1.0,0.105890002974371,0.10128255994339694,7.947644418005589e-05,0.00023978975672895268,9.002894217190837e-06,8.593343725550503e-06,4.0955049179613955e-07,0.00022194444444444442,2.743037331939436,8.27606545952205,0.3107244566365899,0.2965892962192659,0.014135160422701446,7.660155194517927,0.00019455538886158267,0.07238415366937913,0.006904970792922573
0.000117,0.0003078699376568377,623.15,1.0,0.11280496711368927,0.10759480801178874,7.886178070100538e-05,0.00023816006533924168,9.563982934381219e-06,9.10085768088075e-06,4.631252536562748e-07,0.00022194444444444442,2.7272957883645836,8.236346394700002,0.3307535049940372,0.3147371337920488,0.016016371207376697,7.675557706199928,0.00020421572482759396,0.07108999440677147,0.0072278385548180625
0.0001248,0.00032839460016729355,623.15,1.0,0.11963495568035201,0.11379539704244325,7.825467060619091e-05,0.0002365625215564901,1.011514640377273e-05,9.596074524849312e-06,5.190718790792226e-07,0.00022194444444444442,2.7116559165495584,8.197289136142505,0.35050683083937684,0.3325201174496993,0.01798671339507647,7.690748184881756,0.00021340944421162301,0.06982034224480928,0.007532114387391245
0.0001326,0.0003489192626777494,623.15,1.0,0.1263805127664684,0.11988643038349295,7.765506553186946e-05,0.00023499642588732723,1.0656571589643815e-05,1.0079319822270017e-05,5.772517675296054e-07,0.00022194444444444442,2.6961201311071257,8.158883006969164,0.36998741800857354,0.3499457104898934,0.020041707524089607,7.705728925159123,0.00022215369607113741,0.06857503407570871,0.007818524882467747
0.0001404,0.00036944392518820524,623.15,1.0,0.1330422300786245,0.12586999739610522,7.706291288190003e-05,0.0002334610880439234,1.1188444212987127e-05,1.0550912418987226e-05,6.375317941557077e-07,0.00022194444444444442,2.6806906424888455,8.121117288464216,0.38919833917681507,0.3670213223660987,0.02217701681613613,7.7205022899458635,0.00023046524225785192,0.06735388073990185,0.00808778106230862
0.0001482,0.0003899685876986611,623.15,1.0,0.13962074331416469,0.13174817124056706,7.647815614985201e-05,0.00023195582740905164,1.1710948554717069e-05,1.1011164370399094e-05,6.997841844737823e-07,0.00022194444444444442,2.6653694646043333,8.083981239057572,0.40814274625206853,0.3837543000526136,0.02438844620488506,7.735070703086501,0.00023836044301458047,0.06615666915387788,0.008340577565849813
0.000156,0.0004104932502091169,623.15,1.0,0.14611672872374476,0.13752300681852136,7.5900735224556e-05,0.00023047997346218615,1.2224267272757452e-05,1.146038088118384e-05,7.638863917294169e-07,0.00022194444444444442,2.650158422272299,8.047464112551774,0.4268238611017395,0.40015191980500947,0.026671941302170085,7.7494366422249845,0.00024585524839037116,0.06498316437069677,0.008577591960409534
0.0001638,0.00043101791271957273,623.15,1.0,0.15253089974202658,0.14319653891019082,7.533058668959762e-05,0.0002290328661423287,1.2728581236461402e-05,1.1898860273633368e-05,8.297209629838408e-07,0.00022194444444444442,2.6350591588841876,8.011555174800977,0.4452449667615644,0.41622137994911584,0.02902358681789866,7.763602632044228,0.00025296518916060923,0.06383311156701703,0.008799484187346074
0.0001716,0.0004515425752300286,623.15,1.0,0.158864003761142,0.1487707804774839,7.476764411012069e-05,0.00022761385616454588,1.3224069375776343e-05,1.2326893972786314e-05,8.971754031458331e-07,0.00022194444444444442,2.6200731440079217,7.976243719308035,0.46340939905687323,0.43196979430783883,0.03143960475449416,7.777571237822813,0.00025970537065173174,0.06270623795202451,0.00900689612328775
0.0001794,0.0004720672377404844,623.15,1.0,0.16511681904367997,0.15424772112047105,7.421183830722843e-05,0.00022622230529437603,1.3710908544041867e-05,1.2744766506425091e-05,9.661420377725818e-07,0.00022194444444444442,2.6052016809138077,7.941519081810703,0.4813205386170062,0.4474041862153766,0.03391635240709918,7.791345059293979,0.00026609046908230747,0.061602254596094363,0.009200451248022148
0.0001872,0.0004925919002509403,623.15,1.0,0.17129015173161175,0.1596293257269805,7.366309762385671e-05,0.00022485758656209994,1.4189273397953818e-05,1.3152755530877282e-05,1.0365178672323406e-06,0.00022194444444444442,2.590445914175383,7.907370653287398,0.49898180343345827,0.46253148352634904,0.03645031991258828,7.804926724922797,0.0002721347276393499,0.06052085817172238,0.009380754420395397
0.000195,0.0005131165627613962,623.15,1.0,0.17738483303812858,0.16491753322624012,7.312134817438855e-05,0.0002235190844562758,1.4659336286776894e-05,1.3551131859055273e-05,1.108204427877427e-06,0.00022194444444444442,2.5758068369826064,7.873787892497133,0.516396641690105,0.4773585137976605,0.03903812789793306,7.818318886392534,0.00027785195702289986,0.05946173261357684,0.009548391735515142
0.0002028,0.000533641225271852,623.15,1.0,0.18340171655062243,0.17011425549838405,7.25865140843891e-05,0.0002222061950717352,1.5121267155411911e-05,1.3940159506325845e-05,1.181107649241872e-06,0.00022194444444444442,2.5612852984189867,7.840760337287754,0.5335685250512934,0.49189200020898854,0.04167652484780261,7.831524213443145,0.000283255536338597,0.05842455069127131,0.009703930469224693
