n2_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,total_feed_mol_h,h2_co_molar_ratio,co_conversion_pct,status,solver_message
0.4,0.32,0.959,1.6789999999999998,2.9968749999999997,88.13605382182276,completed,The solver successfully reached the end of the integration interval.
0.42000000000000004,0.32,0.959,1.6989999999999998,2.9968749999999997,87.65668576557135,completed,The solver successfully reached the end of the integration interval.
0.44,0.32,0.959,1.7189999999999999,2.9968749999999997,87.17625628066557,completed,The solver successfully reached the end of the integration interval.
0.46,0.32,0.959,1.7389999999999999,2.9968749999999997,86.6951844902148,completed,The solver successfully reached the end of the integration interval.
0.48,0.32,0.959,1.759,2.9968749999999997,86.21386820332924,completed,The solver successfully reached the end of the integration interval.
0.5,0.32,0.959,1.779,2.9968749999999997,85.73269812734982,completed,The solver successfully reached the end of the integration interval.
0.52,0.32,0.959,1.799,2.9968749999999997,85.25196869126611,completed,The solver successfully reached the end of the integration interval.
0.54,0.32,0.959,1.819,2.9968749999999997,84.77198989698277,completed,The solver successfully reached the end of the integration interval.
0.56,0.32,0.959,1.839,2.9968749999999997,84.29304479857456,completed,The solver successfully reached the end of the integration interval.
0.58,0.32,0.959,1.859,2.9968749999999997,83.81539082170328,completed,The solver successfully reached the end of the integration interval.
0.6,0.32,0.959,1.879,2.9968749999999997,83.33932169533219,completed,The solver successfully reached the end of the integration interval.
0.62,0.32,0.959,1.899,2.9968749999999997,82.86493286783545,completed,The solver successfully reached the end of the integration interval.
0.64,0.32,0.959,1.919,2.9968749999999997,82.39247240906529,completed,The solver successfully reached the end of the integration interval.
0.6599999999999999,0.32,0.959,1.9389999999999998,2.9968749999999997,81.92211574395934,completed,The solver successfully reached the end of the integration interval.
0.6799999999999999,0.32,0.959,1.9589999999999999,2.9968749999999997,81.45402177563021,completed,The solver successfully reached the end of the integration interval.
0.7,0.32,0.959,1.9789999999999999,2.9968749999999997,80.98833724698909,completed,The solver successfully reached the end of the integration interval.
0.72,0.32,0.959,1.9989999999999999,2.9968749999999997,80.52518279563024,completed,The solver successfully reached the end of the integration interval.
0.74,0.32,0.959,2.019,2.9968749999999997,80.0646744780333,completed,The solver successfully reached the end of the integration interval.
0.76,0.32,0.959,2.0389999999999997,2.9968749999999997,79.60691658542345,completed,The solver successfully reached the end of the integration interval.
0.78,0.32,0.959,2.059,2.9968749999999997,79.15200122335457,completed,The solver successfully reached the end of the integration interval.
0.799,0.32,0.959,2.078,2.9968749999999997,78.72253717049591,completed,The solver successfully reached the end of the integration interval.
0.7999999999999999,0.32,0.959,2.0789999999999997,2.9968749999999997,78.70000823614674,completed,The solver successfully reached the end of the integration interval.
0.82,0.32,0.959,2.0989999999999998,2.9968749999999997,78.25102403748947,completed,The solver successfully reached the end of the integration interval.
0.84,0.32,0.959,2.1189999999999998,2.9968749999999997,77.80509553347567,completed,The solver successfully reached the end of the integration interval.
0.8599999999999999,0.32,0.959,2.139,2.9968749999999997,77.36228073584863,completed,The solver successfully reached the end of the integration interval.
0.8799999999999999,0.32,0.959,2.159,2.9968749999999997,76.9226577806871,completed,The solver successfully reached the end of the integration interval.
0.8999999999999999,0.32,0.959,2.179,2.9968749999999997,76.48621544143892,completed,The solver successfully reached the end of the integration interval.
0.9199999999999999,0.32,0.959,2.199,2.9968749999999997,76.05300904053823,completed,The solver successfully reached the end of the integration interval.
0.94,0.32,0.959,2.219,2.9968749999999997,75.62306871278895,completed,The solver successfully reached the end of the integration interval.
0.96,0.32,0.959,2.239,2.9968749999999997,75.19641932760545,completed,The solver successfully reached the end of the integration interval.
0.98,0.32,0.959,2.259,2.9968749999999997,74.7730805050615,completed,The solver successfully reached the end of the integration interval.
0.9999999999999999,0.32,0.959,2.279,2.9968749999999997,74.35306722418187,completed,The solver successfully reached the end of the integration interval.
1.02,0.32,0.959,2.299,2.9968749999999997,73.9363909238899,completed,The solver successfully reached the end of the integration interval.
1.04,0.32,0.959,2.319,2.9968749999999997,73.52307121375372,completed,The solver successfully reached the end of the integration interval.
1.06,0.32,0.959,2.339,2.9968749999999997,73.11309266514256,completed,The solver successfully reached the end of the integration interval.
1.08,0.32,0.959,2.359,2.9968749999999997,72.70645683359646,completed,The solver successfully reached the end of the integration interval.
1.0999999999999999,0.32,0.959,2.3789999999999996,2.9968749999999997,72.30316212310352,completed,The solver successfully reached the end of the integration interval.
1.1199999999999999,0.32,0.959,2.399,2.9968749999999997,71.90320389067753,completed,The solver successfully reached the end of the integration interval.
1.14,0.32,0.959,2.4189999999999996,2.9968749999999997,71.50657507387854,completed,The solver successfully reached the end of the integration interval.
1.16,0.32,0.959,2.439,2.9968749999999997,71.11326615562761,completed,The solver successfully reached the end of the integration interval.
1.18,0.32,0.959,2.4589999999999996,2.9968749999999997,70.72326549247724,completed,The solver successfully reached the end of the integration interval.
1.2,0.32,0.959,2.479,2.9968749999999997,70.33655225923181,completed,The solver successfully reached the end of the integration interval.
