h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
1.0,0.25,8.774999999999999,1.28,1.28,3.196,5.756,2.0,36.68353369288881,25.328696299139363,350.0,1.999999816246781,0.01837532190256752,completed,,191,The solver successfully reached the end of the integration interval.
1.2,0.25,8.774999999999999,1.28,1.536,3.196,6.0120000000000005,2.0,43.560554530354906,30.199996827749658,350.0,1.9999998097167604,0.019028323964448646,completed,,172,The solver successfully reached the end of the integration interval.
1.4,0.25,8.774999999999999,1.28,1.7919999999999998,3.196,6.268000000000001,2.0,49.8329518283916,34.7829095231296,350.0,1.9999998028499988,0.019715000118594617,completed,,154,The solver successfully reached the end of the integration interval.
1.6,0.25,8.774999999999999,1.28,2.048,3.196,6.524000000000001,2.0,55.43878224034555,39.03967186834474,350.0,1.9999997956361029,0.020436389720998704,completed,,145,The solver successfully reached the end of the integration interval.
1.8,0.25,8.774999999999999,1.28,2.3040000000000003,3.196,6.780000000000001,2.0,60.3479123010986,42.944410317951366,350.0,1.9999997880742466,0.021192575339227915,completed,,138,The solver successfully reached the end of the integration interval.
2.0,0.25,8.774999999999999,1.28,2.56,3.196,7.036,2.0,64.56013462285405,46.483116473370245,350.0,1.999999780171693,0.0219828306871932,completed,,131,The solver successfully reached the end of the integration interval.
2.2,0.25,8.774999999999999,1.28,2.8160000000000003,3.196,7.292,2.0,68.10177181561703,49.653378110126006,350.0,1.9999997719421165,0.02280578835052438,completed,,137,The solver successfully reached the end of the integration interval.
2.4000000000000004,0.25,8.774999999999999,1.28,3.0720000000000005,3.196,7.548,2.0,71.02040306237542,52.463296870637635,350.0,1.9999997634039142,0.023659608588786796,completed,,132,The solver successfully reached the end of the integration interval.
2.6,0.25,8.774999999999999,1.28,3.3280000000000003,3.196,7.804,2.0,73.37784226294946,54.92967194378634,350.0,1.9999997545784998,0.02454215002944693,completed,,133,The solver successfully reached the end of the integration interval.
2.8,0.25,8.774999999999999,1.28,3.5839999999999996,3.196,8.06,2.0,75.2429562993452,57.075487830899384,350.0,1.9999997454886653,0.025451133464230224,completed,,130,The solver successfully reached the end of the integration interval.
2.9968749999999997,0.25,8.774999999999999,1.28,3.836,3.196,8.312,2.0,76.6656698110822,58.90064592847107,350.0,1.99999973630483,0.026369516999693587,completed,,127,The solver successfully reached the end of the integration interval.
3.0,0.25,8.774999999999999,1.28,3.84,3.196,8.316,2.0,76.68529656932033,58.92746647629197,350.0,1.9999997361572834,0.026384271652204916,completed,,127,The solver successfully reached the end of the integration interval.
3.2,0.25,8.774999999999999,1.28,4.096,3.196,8.572000000000001,2.0,77.7704920301862,60.513842962441345,350.0,1.9999997266062657,0.027339373424183577,completed,,122,The solver successfully reached the end of the integration interval.
3.4000000000000004,0.25,8.774999999999999,1.28,4.352,3.196,8.828000000000001,2.0,78.55745971755776,61.86260187951703,350.0,1.999999716855939,0.02831440611043945,completed,,121,The solver successfully reached the end of the integration interval.
3.6,0.25,8.774999999999999,1.28,4.6080000000000005,3.196,9.084000000000001,2.0,79.09725568706094,63.00036287746723,350.0,1.9999997069246902,0.029307530989171937,completed,,123,The solver successfully reached the end of the integration interval.
3.8000000000000003,0.25,8.774999999999999,1.28,4.864000000000001,3.196,9.340000000000002,2.0,79.43311115417796,63.951691965717814,350.0,1.9999996968288547,0.030317114520585164,completed,,120,The solver successfully reached the end of the integration interval.
4.0,0.25,8.774999999999999,1.28,5.12,3.196,9.596,2.0,79.6009895078454,64.7388083019581,350.0,1.999999686582756,0.031341724388767034,completed,,115,The solver successfully reached the end of the integration interval.
4.2,0.25,8.774999999999999,1.28,5.376,3.196,9.852,2.0,79.63056550112748,65.38152236034695,350.0,1.999999676198837,0.0323801162885502,completed,,115,The solver successfully reached the end of the integration interval.
4.4,0.25,8.774999999999999,1.28,5.632000000000001,3.196,10.108,2.0,79.54620488251841,65.89737099242714,350.0,1.9999996656878503,0.03343121497891843,completed,,117,The solver successfully reached the end of the integration interval.
4.6,0.25,8.774999999999999,1.28,5.888,3.196,10.364,2.0,79.36789708703778,66.30174690349769,350.0,1.9999996550590258,0.034494097431888804,completed,,115,The solver successfully reached the end of the integration interval.
4.800000000000001,0.25,8.774999999999999,1.28,6.144000000000001,3.196,10.620000000000001,2.0,79.11206272504326,66.60816487364092,350.0,1.9999996443203065,0.035567969345720485,completed,,112,The solver successfully reached the end of the integration interval.
5.0,0.25,8.774999999999999,1.28,6.4,3.196,10.876000000000001,2.0,78.79222756621223,66.8284446870937,350.0,1.999999633478499,0.036652150098234415,completed,,112,The solver successfully reached the end of the integration interval.
1.0,0.2871745887492587,10.07982806509898,1.114304721019039,1.114304721019039,2.7822796002944132,5.010889042332492,2.0,37.94468173264729,25.948129103676308,350.0,1.999999858339532,0.014166046807076782,completed,,198,The solver successfully reached the end of the integration interval.
1.2,0.2871745887492587,10.07982806509898,1.114304721019039,1.337165665222847,2.7822796002944132,5.233749986536299,2.0,45.115987252140506,30.969879640495858,350.0,1.9999998534343135,0.014656568644568324,completed,,178,The solver successfully reached the end of the integration interval.
1.4,0.2871745887492587,10.07982806509898,1.114304721019039,1.5600266094266546,2.7822796002944132,5.456610930740107,2.0,51.6801032887798,35.70916679019708,350.0,1.9999998482740016,0.015172599843936041,completed,,166,The solver successfully reached the end of the integration interval.
1.6,0.2871745887492587,10.07982806509898,1.114304721019039,1.7828875536304627,2.7822796002944132,5.679471874943915,2.0,57.56761787437759,40.12610398680495,350.0,1.9999998428478598,0.01571521401638165,completed,,151,The solver successfully reached the end of the integration interval.
1.8,0.2871745887492587,10.07982806509898,1.114304721019039,2.0057484978342703,2.7822796002944132,5.9023328191477225,2.0,62.74123332354851,44.192400698161144,350.0,1.9999998371526104,0.01628473895834759,completed,,146,The solver successfully reached the end of the integration interval.
2.0,0.2871745887492587,10.07982806509898,1.114304721019039,2.228609442038078,2.7822796002944132,6.125193763351531,2.0,67.19501960650427,47.891700259063285,350.0,1.9999998311914813,0.016880851879250258,completed,,140,The solver successfully reached the end of the integration interval.
2.2,0.2871745887492587,10.07982806509898,1.114304721019039,2.451470386241886,2.7822796002944132,6.348054707555338,2.0,70.95186557552103,51.21960091233526,350.0,1.9999998249730622,0.01750269377953373,completed,,143,The solver successfully reached the end of the integration interval.
2.4000000000000004,0.2871745887492587,10.07982806509898,1.114304721019039,2.6743313304456944,2.7822796002944132,6.5709156517591465,2.0,74.0586801065373,54.18283604991254,350.0,1.9999998185101278,0.018148987233871594,completed,,143,The solver successfully reached the end of the integration interval.
