h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
1.0,0.25,8.774999999999999,1.28,1.28,3.196,5.756,1.0,22.37570422415309,17.449385548079935,350.0,0.9999996198365181,0.0380163481895579,completed,,162,The solver successfully reached the end of the integration interval.
1.2,0.25,8.774999999999999,1.28,1.536,3.196,6.0120000000000005,1.0,26.571389176283983,20.780310880896735,350.0,0.9999996044076241,0.03955923758621793,completed,,156,The solver successfully reached the end of the integration interval.
1.4,0.25,8.774999999999999,1.28,1.7919999999999998,3.196,6.268000000000001,1.0,30.39081337965927,23.88124740705296,350.0,0.9999995884489614,0.04115510385599919,completed,,152,The solver successfully reached the end of the integration interval.
1.6,0.25,8.774999999999999,1.28,2.048,3.196,6.524000000000001,1.0,33.81098843623966,26.732801083460405,350.0,0.9999995719622182,0.0428037781821331,completed,,126,The solver successfully reached the end of the integration interval.
1.8,0.25,8.774999999999999,1.28,2.3040000000000003,3.196,6.780000000000001,1.0,36.826235496266655,29.32489897631015,350.0,0.9999995549611668,0.04450388332770672,completed,,113,The solver successfully reached the end of the integration interval.
2.0,0.25,8.774999999999999,1.28,2.56,3.196,7.036,1.0,39.44440297954902,31.655075053264003,350.0,0.9999995374677514,0.0462532248639036,completed,,110,The solver successfully reached the end of the integration interval.
2.2,0.25,8.774999999999999,1.28,2.8160000000000003,3.196,7.292,1.0,41.68320079476152,33.72707946011539,350.0,0.9999995195090251,0.04804909748781938,completed,,107,The solver successfully reached the end of the integration interval.
2.4000000000000004,0.25,8.774999999999999,1.28,3.0720000000000005,3.196,7.548,1.0,43.56740081970401,35.54969397183949,350.0,0.999999501114854,0.04988851459347643,completed,,104,The solver successfully reached the end of the integration interval.
2.6,0.25,8.774999999999999,1.28,3.3280000000000003,3.196,7.804,1.0,45.12637761531744,37.135565569515364,350.0,0.9999994823161801,0.05176838199258782,completed,,101,The solver successfully reached the end of the integration interval.
2.8,0.25,8.774999999999999,1.28,3.5839999999999996,3.196,8.06,1.0,46.39184090954574,38.500104351151734,350.0,0.9999994631436211,0.05368563788942993,completed,,98,The solver successfully reached the end of the integration interval.
2.9968749999999997,0.25,8.774999999999999,1.28,3.836,3.196,8.312,1.0,47.38223076998414,39.643778253859956,350.0,0.9999994439339689,0.05560660311311949,completed,,92,The solver successfully reached the end of the integration interval.
3.0,0.25,8.774999999999999,1.28,3.84,3.196,8.316,1.0,47.3960750176222,39.66042871334452,350.0,0.9999994436265065,0.055637349345488474,completed,,92,The solver successfully reached the end of the integration interval.
3.2,0.25,8.774999999999999,1.28,4.096,3.196,8.572000000000001,1.0,48.17058543900018,40.63447082805825,350.0,0.9999994237922665,0.057620773353846744,completed,,98,The solver successfully reached the end of the integration interval.
3.4000000000000004,0.25,8.774999999999999,1.28,4.352,3.196,8.828000000000001,1.0,48.745131900876544,41.44023230988561,350.0,0.9999994036659492,0.05963340507878456,completed,,97,The solver successfully reached the end of the integration interval.
3.6,0.25,8.774999999999999,1.28,4.6080000000000005,3.196,9.084000000000001,1.0,49.1471515483182,42.095263468750275,350.0,0.9999993832701976,0.0616729802422924,completed,,94,The solver successfully reached the end of the integration interval.
3.8000000000000003,0.25,8.774999999999999,1.28,4.864000000000001,3.196,9.340000000000002,1.0,49.40143599021837,42.616229708376466,350.0,0.9999993626251525,0.06373748474288732,completed,,95,The solver successfully reached the end of the integration interval.
4.0,0.25,8.774999999999999,1.28,5.12,3.196,9.596,1.0,49.530039851587695,43.018665632322836,350.0,0.9999993417485687,0.06582514313049614,completed,,92,The solver successfully reached the end of the integration interval.
4.2,0.25,8.774999999999999,1.28,5.376,3.196,9.852,1.0,49.552379827413795,43.316840741783075,350.0,0.9999993206560093,0.0679343990777852,completed,,88,The solver successfully reached the end of the integration interval.
4.4,0.25,8.774999999999999,1.28,5.632000000000001,3.196,10.108,1.0,49.485291286642266,43.52367601687174,350.0,0.9999992993609402,0.07006390597962309,completed,,87,The solver successfully reached the end of the integration interval.
4.6,0.25,8.774999999999999,1.28,5.888,3.196,10.364,1.0,49.34337721972965,43.650806237701254,350.0,0.9999992778750852,0.07221249147551134,completed,,86,The solver successfully reached the end of the integration interval.
4.800000000000001,0.25,8.774999999999999,1.28,6.144000000000001,3.196,10.620000000000001,1.0,49.13917573995724,43.708607066526376,350.0,0.9999992562085438,0.07437914561887737,completed,,88,The solver successfully reached the end of the integration interval.
5.0,0.25,8.774999999999999,1.28,6.4,3.196,10.876000000000001,1.0,48.88337908570426,43.706268097227934,350.0,0.9999992343700024,0.07656299976224545,completed,,86,The solver successfully reached the end of the integration interval.
1.0,0.2871745887492587,10.07982806509898,1.114304721019039,1.114304721019039,2.7822796002944132,5.010889042332492,1.0,23.428064689626606,18.092155414779782,350.0,0.9999997067404598,0.02932595401944127,completed,,170,The solver successfully reached the end of the integration interval.
1.2,0.2871745887492587,10.07982806509898,1.114304721019039,1.337165665222847,2.7822796002944132,5.233749986536299,1.0,27.888434505074805,21.588980761380405,350.0,0.9999996950541239,0.030494587612338364,completed,,159,The solver successfully reached the end of the integration interval.
1.4,0.2871745887492587,10.07982806509898,1.114304721019039,1.5600266094266546,2.7822796002944132,5.456610930740107,1.0,31.9780239509971,24.864640239291692,350.0,0.9999996829635528,0.03170364472316578,completed,,157,The solver successfully reached the end of the integration interval.
1.6,0.2871745887492587,10.07982806509898,1.114304721019039,1.7828875536304627,2.7822796002944132,5.679471874943915,1.0,35.66957871215821,27.897978763790764,350.0,0.9999996704658519,0.032953414804069325,completed,,133,The solver successfully reached the end of the integration interval.
1.8,0.2871745887492587,10.07982806509898,1.114304721019039,2.0057484978342703,2.7822796002944132,5.9023328191477225,1.0,38.95334892634832,30.676922389264448,350.0,0.9999996575678703,0.034243212969158776,completed,,123,The solver successfully reached the end of the integration interval.
2.0,0.2871745887492587,10.07982806509898,1.114304721019039,2.228609442038078,2.7822796002944132,6.125193763351531,1.0,41.83337281787777,33.19673384749015,350.0,0.9999996442833295,0.035571667045587674,completed,,117,The solver successfully reached the end of the integration interval.
